run,variant,reconstruction_weight,finetune_steps,channel_nmse,channel_nmse_db,val_normalized_mse_sum,val_delay_loss
param_only,hybrid_original_v1_traditional_ls,,0,2.586974e-01,-9.801518e+00,6.970020e-02,3.362746e-02
param_only,uncertainty_v1_traditional_ls,,0,8.027370e-01,-4.134138e+00,7.035732e-02,3.027998e-02
param_only,uncertainty_v1_weighted_ls,,0,4.062038e-01,-6.888731e+00,7.230153e-02,3.531357e-02
param_only,query_v1_traditional_ls,,0,3.262893e+01,1.150776e+01,3.911727e-02,2.956442e-03
param_only,query_v1_weighted_ls,,0,2.310239e-02,-2.082535e+01,4.017170e-02,1.975300e-03
param_only,epgt_v1_full_traditional_ls,,0,4.668800e+00,2.166802e+00,4.919534e-02,1.047427e-02
param_only,epgt_v1_uncertainty_weighted_ls,,0,2.069003e-02,-1.731739e+01,5.791449e-02,1.950206e-02
two_stage_original_3us_rw0p05_ft80,hybrid_original_v1_traditional_ls,0.05,80,1.323596e+01,6.356548e+00,3.006480e-01,3.574984e-02
two_stage_original_3us_rw0p05_ft80,uncertainty_v1_traditional_ls,0.05,80,5.921747e+00,7.146962e+00,4.603169e-01,4.053979e-02
two_stage_original_3us_rw0p05_ft80,uncertainty_v1_weighted_ls,0.05,80,6.068852e+00,7.569310e+00,3.555502e-01,3.754842e-02
two_stage_original_3us_rw0p05_ft80,query_v1_traditional_ls,0.05,80,4.864685e+01,1.508744e+01,1.165773e+00,7.551103e-02
two_stage_original_3us_rw0p05_ft80,query_v1_weighted_ls,0.05,80,2.646510e+00,2.909335e+00,2.963739e-01,2.368042e-02
two_stage_original_3us_rw0p05_ft80,epgt_v1_full_traditional_ls,0.05,80,2.093953e-01,-8.141297e+00,2.445635e-01,1.671729e-02
two_stage_original_3us_rw0p05_ft80,epgt_v1_uncertainty_weighted_ls,0.05,80,9.852489e+00,9.123348e+00,5.054847e-01,2.086558e-02
two_stage_0p5us_rw0p05_ft80,hybrid_original_v1_traditional_ls,0.05,80,6.358271e-02,-1.230478e+01,1.357301e-01,5.198166e-03
two_stage_0p5us_rw0p05_ft80,uncertainty_v1_traditional_ls,0.05,80,3.600685e-01,-6.344441e+00,1.848972e-01,5.906925e-03
two_stage_0p5us_rw0p05_ft80,uncertainty_v1_weighted_ls,0.05,80,1.029182e-02,-2.229658e+01,8.844367e-02,4.061423e-03
two_stage_0p5us_rw0p05_ft80,query_v1_traditional_ls,0.05,80,4.974521e+00,4.304219e+00,9.650915e-02,9.636053e-03
two_stage_0p5us_rw0p05_ft80,query_v1_weighted_ls,0.05,80,1.806856e-02,-1.852499e+01,6.241148e-02,1.106708e-02
two_stage_0p5us_rw0p05_ft80,epgt_v1_full_traditional_ls,0.05,80,6.329106e-01,-3.459459e+00,2.448585e-01,4.071882e-03
two_stage_0p5us_rw0p05_ft80,epgt_v1_uncertainty_weighted_ls,0.05,80,2.384677e-02,-1.760703e+01,1.729904e-01,1.917841e-03
two_stage_0p5us_rw0p01_ft20,hybrid_original_v1_traditional_ls,0.01,20,9.428027e-02,-1.355951e+01,4.339280e-02,4.168519e-03
two_stage_0p5us_rw0p01_ft20,uncertainty_v1_traditional_ls,0.01,20,5.080338e-03,-2.613835e+01,3.867967e-02,1.762740e-03
two_stage_0p5us_rw0p01_ft20,uncertainty_v1_weighted_ls,0.01,20,6.521103e-03,-2.362703e+01,6.083874e-02,1.755849e-03
two_stage_0p5us_rw0p01_ft20,query_v1_traditional_ls,0.01,20,6.334838e-02,-1.250811e+01,4.312176e-02,4.845790e-03
two_stage_0p5us_rw0p01_ft20,query_v1_weighted_ls,0.01,20,4.552107e-03,-2.821173e+01,4.527372e-02,4.631522e-03
two_stage_0p5us_rw0p01_ft20,epgt_v1_full_traditional_ls,0.01,20,3.828539e-03,-2.561359e+01,3.358839e-02,8.825107e-04
two_stage_0p5us_rw0p01_ft20,epgt_v1_uncertainty_weighted_ls,0.01,20,4.607480e-04,-3.501403e+01,4.027131e-02,8.644880e-04
two_stage_0p5us_rw0p01_ft40,hybrid_original_v1_traditional_ls,0.01,40,1.876231e-03,-2.843822e+01,3.791487e-02,2.952201e-03
two_stage_0p5us_rw0p01_ft40,uncertainty_v1_traditional_ls,0.01,40,8.366572e-02,-1.251903e+01,7.552393e-02,6.095179e-03
two_stage_0p5us_rw0p01_ft40,uncertainty_v1_weighted_ls,0.01,40,5.308669e-04,-3.396683e+01,4.315809e-02,1.096582e-03
two_stage_0p5us_rw0p01_ft40,query_v1_traditional_ls,0.01,40,1.706715e-02,-2.160207e+01,4.077791e-02,2.779949e-03
two_stage_0p5us_rw0p01_ft40,query_v1_weighted_ls,0.01,40,7.326879e-03,-2.255076e+01,5.662327e-02,6.870915e-03
