l_eff,scenario,variant,ls_mode,channel_nmse,channel_nmse_db,observed_symbol_nmse,observed_symbol_nmse_db,train_loss_final,validation_loss_final,weights_source,weights_min,weights_max,parameter_count
2,oracle,oracle_ls,traditional_ls,4.080275e-06,-5.389310e+01,4.080275e-06,-5.389310e+01,,4.080275e-06,,,,
2,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,7.712540e-01,-1.128550e+00,7.678618e-01,-1.147691e+00,7.765861e-01,7.712540e-01,,,,1.723300e+05
2,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,1.333790e-02,-1.887428e+01,3.271346e-03,-2.489387e+01,1.158888e-02,1.333790e-02,,,,1.731020e+05
2,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,1.059490e+00,2.503274e-01,1.056665e+00,2.387024e-01,1.050444e+00,1.059490e+00,uncertainty,5.000000e-01,1.625424e+00,1.731020e+05
2,query,query_v1_traditional_ls,traditional_ls,7.809270e-02,-1.108452e+01,6.960929e-02,-1.158588e+01,8.050352e-02,7.809270e-02,,,,4.341190e+05
2,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,2.934607e-01,-5.328208e+00,2.838047e-01,-5.473393e+00,3.253777e-01,2.934607e-01,uncertainty,5.000000e-01,1.626909e+00,4.341190e+05
2,epgt,epgt_v1_full_traditional_ls,traditional_ls,5.347198e-02,-1.273885e+01,4.347361e-02,-1.363493e+01,5.376226e-02,5.347198e-02,,,,2.293560e+05
2,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,1.049753e+00,2.107450e-01,1.048184e+00,2.042478e-01,1.048209e+00,1.049753e+00,uncertainty,5.000000e-01,1.586275e+00,2.301280e+05
2,direct_h,direct_h_original_v1,none,9.901656e-01,-4.292633e-02,9.898825e-01,-4.416883e-02,4.952340e-01,9.901656e-01,,,,2.541984e+06
4,oracle,oracle_ls,traditional_ls,1.719429e-10,-9.762097e+01,1.719429e-10,-9.762097e+01,,1.719429e-10,,,,
4,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,1.363203e+00,1.337659e+00,6.355153e-01,-1.969870e+00,1.452243e+00,1.363203e+00,,,,1.731020e+05
4,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,2.193884e+01,8.890436e+00,6.138935e-01,-2.122050e+00,4.913831e+00,2.193884e+01,,,,1.746460e+05
4,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,1.232132e+00,8.419510e-01,6.717832e-01,-1.729100e+00,1.176920e+00,1.232132e+00,uncertainty,5.000000e-01,1.628598e+00,1.746460e+05
4,query,query_v1_traditional_ls,traditional_ls,2.035176e+00,3.076236e+00,6.819023e-01,-1.663282e+00,2.357902e+00,2.035176e+00,,,,4.343110e+05
4,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,8.399338e-01,-7.729693e-01,3.874949e-01,-4.123732e+00,7.953860e-01,8.399338e-01,uncertainty,5.000000e-01,1.635226e+00,4.343110e+05
4,epgt,epgt_v1_full_traditional_ls,traditional_ls,1.283748e+00,1.070939e+00,5.006264e-01,-3.006407e+00,1.294547e+00,1.283748e+00,,,,2.305140e+05
4,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,2.422317e-01,-6.179774e+00,1.251071e-01,-9.035776e+00,2.771936e-01,2.422317e-01,uncertainty,5.000000e-01,1.632369e+00,2.320580e+05
4,direct_h,direct_h_original_v1,none,9.928947e-01,-3.097249e-02,9.929322e-01,-3.080825e-02,4.966022e-01,9.928947e-01,,,,2.541984e+06
6,oracle,oracle_ls,traditional_ls,1.780487e-10,-9.747029e+01,1.780487e-10,-9.747029e+01,,1.780487e-10,,,,
6,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,6.998273e+00,7.954372e+00,2.747239e-01,-5.618926e+00,8.651916e+00,6.998273e+00,,,,1.738740e+05
6,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,1.074292e+02,1.886982e+01,3.542194e-01,-4.525141e+00,2.958185e+02,1.074292e+02,,,,1.761900e+05
6,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,2.500476e+02,2.235328e+01,4.065359e-01,-3.912062e+00,1.304896e+02,2.500476e+02,uncertainty,5.000000e-01,1.631644e+00,1.761900e+05
