channel_nmse,channel_nmse_db,experiment,ls_cond_a_max,ls_cond_a_mean,ls_cond_a_median,ls_cond_a_nonfinite_count,ls_cond_a_p95,ls_cond_gram_max,ls_cond_gram_mean,ls_cond_gram_median,ls_cond_gram_nonfinite_count,ls_cond_gram_p95,ls_log10_cond_a_max_channel_nmse_db_corr,ls_log10_cond_a_max_observed_nmse_db_corr,ls_log10_cond_a_mean_channel_nmse_db_corr,ls_log10_cond_gram_max_channel_nmse_db_corr,ls_mode,ls_rank_deficient_count,ls_rank_mean,ls_rank_min,noise_std,noise_unit,observed_symbol_nmse,observed_symbol_nmse_db,perturbed_key
1.752024e-10,-9.754948e+01,oracle_perturbation,1.842609e+08,1.453215e+08,1.433151e+08,0.000000e+00,1.693104e+08,1.688440e+10,1.031098e+09,5.288978e+08,0.000000e+00,2.617157e+09,2.078179e-02,2.078179e-02,-8.670610e-03,3.109996e-02,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,0.000000e+00,seconds,1.752024e-10,-9.754948e+01,rel_delay_s
1.779504e-10,-9.748390e+01,oracle_perturbation,1.943080e+08,1.482448e+08,1.469188e+08,0.000000e+00,1.764111e+08,7.533896e+09,8.425155e+08,4.791623e+08,0.000000e+00,2.324962e+09,8.790668e-02,8.790667e-02,9.201287e-02,-8.824629e-03,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,1.000000e-10,seconds,1.779504e-10,-9.748390e+01,rel_delay_s
1.774761e-10,-9.749413e+01,oracle_perturbation,1.955427e+08,1.478534e+08,1.472623e+08,0.000000e+00,1.743178e+08,4.953046e+09,7.287282e+08,4.555794e+08,0.000000e+00,2.030802e+09,-7.361903e-02,-7.361903e-02,-4.245963e-02,2.237954e-02,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,2.500000e-10,seconds,1.774761e-10,-9.749413e+01,rel_delay_s
1.754669e-10,-9.754380e+01,oracle_perturbation,1.946413e+08,1.482238e+08,1.468415e+08,0.000000e+00,1.753141e+08,5.938217e+09,7.832269e+08,4.915266e+08,0.000000e+00,2.324037e+09,1.231010e-01,1.231009e-01,7.217773e-02,-1.860851e-02,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,5.000000e-10,seconds,1.754669e-10,-9.754380e+01,rel_delay_s
1.783374e-10,-9.747425e+01,oracle_perturbation,1.942132e+08,1.473998e+08,1.457779e+08,0.000000e+00,1.759136e+08,7.110973e+09,8.844493e+08,5.054778e+08,0.000000e+00,2.722370e+09,3.559575e-02,3.559569e-02,4.862794e-02,-1.982287e-01,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,1.000000e-09,seconds,1.783374e-10,-9.747425e+01,rel_delay_s
1.772132e-10,-9.750642e+01,oracle_perturbation,1.920895e+08,1.463820e+08,1.453225e+08,0.000000e+00,1.713703e+08,9.426604e+09,8.436337e+08,4.654351e+08,0.000000e+00,2.165799e+09,-1.164936e-02,-1.164940e-02,8.725730e-02,1.346444e-01,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,2.000000e-09,seconds,1.772132e-10,-9.750642e+01,rel_delay_s
1.235307e-10,-9.914261e+01,oracle_perturbation,1.790009e+08,1.387552e+08,1.386871e+08,0.000000e+00,1.676366e+08,6.382066e+09,7.480364e+08,4.432225e+08,0.000000e+00,2.295358e+09,2.639923e-01,2.639923e-01,3.081259e-01,9.647120e-02,traditional_ls,6.400000e+01,1.231250e+01,1.200000e+01,5.000000e-09,seconds,1.235307e-10,-9.914261e+01,rel_delay_s
5.402855e-11,-1.027629e+02,oracle_perturbation,1.701671e+08,1.310316e+08,1.301103e+08,0.000000e+00,1.558719e+08,5.367690e+09,7.370614e+08,4.305406e+08,0.000000e+00,2.378452e+09,1.467951e-01,1.467951e-01,1.776569e-01,1.330508e-01,traditional_ls,6.400000e+01,1.413281e+01,1.200000e+01,1.000000e-08,seconds,5.402855e-11,-1.027629e+02,rel_delay_s
1.752024e-10,-9.754948e+01,oracle_perturbation,1.842609e+08,1.453215e+08,1.433151e+08,0.000000e+00,1.693104e+08,1.688440e+10,1.031098e+09,5.288978e+08,0.000000e+00,2.617157e+09,2.078179e-02,2.078179e-02,-8.670610e-03,3.109996e-02,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,0.000000e+00,seconds,1.752024e-10,-9.754948e+01,total_delay_s
1.759731e-10,-9.753051e+01,oracle_perturbation,1.904117e+08,1.465806e+08,1.455548e+08,0.000000e+00,1.723159e+08,9.193444e+09,8.550088e+08,4.861274e+08,0.000000e+00,2.545053e+09,1.234331e-02,1.234333e-02,1.971415e-02,-1.639891e-02,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,1.000000e-10,seconds,1.759731e-10,-9.753051e+01,total_delay_s
